t_ms,T_K
-99.986 799.610
-90.215 799.628
-80.588 799.649
-71.164 799.647
-61.340 799.578
-51.738 799.617
-41.984 799.609
-32.181 799.642
-22.450 799.595
-12.854 799.576
-4.983 799.609
-4.969 799.602
-4.957 799.597
-4.942 799.591
-4.922 799.584
-4.902 799.579
-4.882 799.576
-4.862 799.576
-4.842 799.577
-4.822 799.582
-4.802 799.588
-4.782 799.596
-4.762 799.605
-4.742 799.615
-4.722 799.625
-4.702 799.634
-4.682 799.641
-4.662 799.647
-4.642 799.651
-4.622 799.652
-4.602 799.651
-4.582 799.647
-4.562 799.642
-4.542 799.635
-4.522 799.626
-4.502 799.617
-4.488 799.611
-4.479 799.607
-4.470 799.603
-4.458 799.598
-4.443 799.591
-4.423 799.585
-4.403 799.579
-4.383 799.576
-4.363 799.576
-4.343 799.577
-4.323 799.581
-4.303 799.587
-4.283 799.595
-4.263 799.604
-4.243 799.614
-4.223 799.624
-4.203 799.633
-4.183 799.641
-4.163 799.647
-4.143 799.651
-4.123 799.652
-4.103 799.651
-4.083 799.648
-4.063 799.642
-4.043 799.635
-4.023 799.627
-4.003 799.618
-3.983 799.609
-3.973 799.604
-3.963 799.599
-3.951 799.595
-3.931 799.587
-3.911 799.581
-3.891 799.577
-3.871 799.576
-3.851 799.576
-3.831 799.579
-3.811 799.585
-3.791 799.592
-3.771 799.601
-3.751 799.611
-3.731 799.620
-3.711 799.630
-3.691 799.638
-3.671 799.645
-3.651 799.649
-3.631 799.652
-3.611 799.652
-3.591 799.649
-3.571 799.645
-3.551 799.638
-3.531 799.630
-3.511 799.621
-3.493 799.613
-3.479 799.607
-3.465 799.601
-3.450 799.594
-3.432 799.587
-3.412 799.581
-3.392 799.577
-3.372 799.576
-3.352 799.576
-3.332 799.579
-3.312 799.584
-3.292 799.592
-3.272 799.600
-3.252 799.610
-3.232 799.620
-3.212 799.629
-3.192 799.638
-3.172 799.645
-3.152 799.649
-3.132 799.652
-3.112 799.652
-3.092 799.649
-3.072 799.645
-3.052 799.639
-3.032 799.631
-3.012 799.622
-2.992 799.613
-2.982 799.608
-2.973 799.604
-2.958 799.598
-2.944 799.592
-2.924 799.585
-2.904 799.580
-2.884 799.577
-2.864 799.576
-2.844 799.577
-2.824 799.581
-2.804 799.587
-2.784 799.595
-2.764 799.604
-2.744 799.614
-2.724 799.624
-2.704 799.633
-2.684 799.641
-2.664 799.647
-2.644 799.651
-2.624 799.652
-2.604 799.651
-2.584 799.648
-2.564 799.643
-2.544 799.636
-2.524 799.627
-2.504 799.618
-2.492 799.613
-2.483 799.608
-2.474 799.604
-2.463 799.600
-2.453 799.595
-2.433 799.588
-2.413 799.582
