tube,V_ctl,R_DS,x,absVd,phase_Vd_deg,abs_n_diff,phase_n_diff_deg,demod_dc_mV
IV-6,-1.2337,853.61,0.53634,0.79283,-118.21,0.196515,-118.21,-59.1306
IV-6,-1.2375,865.80,0.54400,0.80158,-118.55,0.198684,-118.55,-60.4436
IV-6,-1.2412,878.35,0.55188,0.81050,-118.89,0.200895,-118.89,-61.7963
IV-6,-1.2450,891.27,0.56000,0.81959,-119.25,0.203148,-119.25,-63.1901
IV-6,-1.2488,904.57,0.56836,0.82885,-119.61,0.205444,-119.61,-64.6265
IV-6,-1.2525,918.27,0.57697,0.83829,-119.98,0.207784,-119.98,-66.1069
IV-6,-1.2563,932.40,0.58584,0.84791,-120.36,0.210168,-120.36,-67.6328
IV-6,-1.2600,946.97,0.59500,0.85772,-120.75,0.212599,-120.75,-69.2059
IV-6,-1.2637,962.00,0.60444,0.86771,-121.15,0.215075,-121.15,-70.8278
IV-6,-1.2675,977.52,0.61419,0.87789,-121.56,0.217600,-121.56,-72.5002
IV-6,-1.2712,993.54,0.62426,0.88827,-121.97,0.220172,-121.97,-74.2247
IV-6,-1.2750,1010.10,0.63467,0.89885,-122.40,0.222794,-122.40,-76.0031
IV-6,-1.2788,1027.22,0.64542,0.90963,-122.84,0.225467,-122.84,-77.8372
IV-6,-1.2825,1044.93,0.65655,0.92062,-123.29,0.228190,-123.29,-79.7290
IV-6,-1.2862,1063.26,0.66807,0.93182,-123.75,0.230965,-123.75,-81.6802
IV-6,-1.2900,1082.25,0.68000,0.94323,-124.22,0.233794,-124.22,-83.6928
IV-6,-1.2937,1101.93,0.69236,0.95485,-124.70,0.236675,-124.70,-85.7687
IV-6,-1.2975,1122.33,0.70518,0.96670,-125.19,0.239611,-125.19,-87.9099
IV-6,-1.3013,1143.51,0.71849,0.97877,-125.70,0.242603,-125.70,-90.1184
IV-6,-1.3050,1165.50,0.73231,0.99106,-126.22,0.245650,-126.22,-92.3963
IV-6,-1.3088,1188.35,0.74666,1.00358,-126.75,0.248753,-126.75,-94.7455
IV-6,-1.3125,1212.12,0.76160,1.01633,-127.29,0.251913,-127.29,-97.1681
IV-6,-1.3162,1236.86,0.77714,1.02931,-127.85,0.255130,-127.85,-99.6660
IV-6,-1.3200,1262.63,0.79333,1.04252,-128.43,0.258405,-128.43,-102.2412
IV-6,-1.3237,1289.49,0.81021,1.05597,-129.01,0.261738,-129.01,-104.8957
IV-6,-1.3275,1317.52,0.82782,1.06965,-129.62,0.265129,-129.62,-107.6313
IV-6,-1.3313,1346.80,0.84622,1.08357,-130.24,0.268578,-130.24,-110.4497
IV-6,-1.3350,1377.41,0.86545,1.09771,-130.87,0.272085,-130.87,-113.3528
