tube,V_ctl,R_DS,x,absVd,phase_Vd_deg,abs_n_diff,phase_n_diff_deg,demod_dc_mV
ILC1-1/7,-0.5025,227.84,0.14316,1.08159,-98.15,0.245387,-98.15,-22.1381
ILC1-1/7,-0.5062,228.70,0.14370,1.08559,-98.18,0.246294,-98.18,-22.3021
ILC1-1/7,-0.5100,229.57,0.14424,1.08962,-98.21,0.247208,-98.21,-22.4680
ILC1-1/7,-0.5138,230.44,0.14479,1.09367,-98.24,0.248129,-98.24,-22.6356
ILC1-1/7,-0.5175,231.32,0.14534,1.09776,-98.27,0.249056,-98.27,-22.8052
ILC1-1/7,-0.5212,232.21,0.14590,1.10188,-98.30,0.249991,-98.30,-22.9766
ILC1-1/7,-0.5250,233.10,0.14646,1.10603,-98.33,0.250932,-98.33,-23.1500
ILC1-1/7,-0.5288,234.00,0.14703,1.11021,-98.36,0.251881,-98.36,-23.3253
ILC1-1/7,-0.5325,234.91,0.14760,1.11442,-98.40,0.252836,-98.40,-23.5026
ILC1-1/7,-0.5363,235.82,0.14817,1.11866,-98.43,0.253799,-98.43,-23.6819
ILC1-1/7,-0.5400,236.74,0.14875,1.12294,-98.46,0.254769,-98.46,-23.8633
ILC1-1/7,-0.5437,237.67,0.14933,1.12725,-98.49,0.255746,-98.49,-24.0467
ILC1-1/7,-0.5475,238.61,0.14992,1.13159,-98.53,0.256731,-98.53,-24.2323
ILC1-1/7,-0.5513,239.55,0.15051,1.13596,-98.56,0.257723,-98.56,-24.4199
ILC1-1/7,-0.5550,240.50,0.15111,1.14037,-98.59,0.258723,-98.59,-24.6098
ILC1-1/7,-0.5587,241.46,0.15171,1.14481,-98.63,0.259731,-98.63,-24.8019
ILC1-1/7,-0.5625,242.42,0.15232,1.14929,-98.66,0.260746,-98.66,-24.9962
ILC1-1/7,-0.5663,243.40,0.15293,1.15380,-98.69,0.261769,-98.69,-25.1927
ILC1-1/7,-0.5700,244.38,0.15355,1.15834,-98.73,0.262801,-98.73,-25.3916
ILC1-1/7,-0.5737,245.37,0.15417,1.16292,-98.76,0.263840,-98.76,-25.5929
ILC1-1/7,-0.5775,246.37,0.15480,1.16754,-98.80,0.264888,-98.80,-25.7965
ILC1-1/7,-0.5813,247.37,0.15543,1.17219,-98.83,0.265943,-98.83,-26.0025
ILC1-1/7,-0.5850,248.39,0.15607,1.17688,-98.87,0.267007,-98.87,-26.2110
ILC1-1/7,-0.5887,249.41,0.15671,1.18161,-98.91,0.268080,-98.91,-26.4220
ILC1-1/7,-0.5925,250.44,0.15736,1.18638,-98.94,0.269161,-98.94,-26.6355
ILC1-1/7,-0.5962,251.48,0.15801,1.19118,-98.98,0.270251,-98.98,-26.8516
ILC1-1/7,-0.6000,252.53,0.15867,1.19602,-99.02,0.271349,-99.02,-27.0704
ILC1-1/7,-0.6038,253.58,0.15933,1.20090,-99.05,0.272456,-99.05,-27.2917
ILC1-1/7,-0.6075,254.65,0.16000,1.20582,-99.09,0.273573,-99.09,-27.5158
ILC1-1/7,-0.6112,255.72,0.16067,1.21078,-99.13,0.274698,-99.13,-27.7427
ILC1-1/7,-0.6150,256.81,0.16136,1.21578,-99.17,0.275832,-99.17,-27.9723
ILC1-1/7,-0.6188,257.90,0.16204,1.22082,-99.20,0.276976,-99.20,-28.2048
ILC1-1/7,-0.6225,259.00,0.16273,1.22591,-99.24,0.278129,-99.24,-28.4401
ILC1-1/7,-0.6262,260.11,0.16343,1.23103,-99.28,0.279292,-99.28,-28.6784
ILC1-1/7,-0.6300,261.23,0.16414,1.23620,-99.32,0.280464,-99.32,-28.9196
ILC1-1/7,-0.6338,262.36,0.16485,1.24141,-99.36,0.281646,-99.36,-29.1639
ILC1-1/7,-0.6375,263.50,0.16556,1.24666,-99.40,0.282838,-99.40,-29.4113
ILC1-1/7,-0.6412,264.66,0.16629,1.25196,-99.44,0.284040,-99.44,-29.6618
ILC1-1/7,-0.6450,265.82,0.16702,1.25730,-99.48,0.285252,-99.48,-29.9155
ILC1-1/7,-0.6488,266.99,0.16775,1.26269,-99.52,0.286475,-99.52,-30.1724
ILC1-1/7,-0.6525,268.17,0.16850,1.26812,-99.56,0.287707,-99.56,-30.4326
ILC1-1/7,-0.6562,269.36,0.16924,1.27360,-99.61,0.288951,-99.61,-30.6962
ILC1-1/7,-0.6600,270.56,0.17000,1.27913,-99.65,0.290204,-99.65,-30.9632
ILC1-1/7,-0.6637,271.78,0.17076,1.28470,-99.69,0.291469,-99.69,-31.2336
ILC1-1/7,-0.6675,273.00,0.17153,1.29032,-99.73,0.292744,-99.73,-31.5076
ILC1-1/7,-0.6713,274.24,0.17231,1.29600,-99.78,0.294031,-99.78,-31.7851
ILC1-1/7,-0.6750,275.48,0.17309,1.30172,-99.82,0.295329,-99.82,-32.0663
ILC1-1/7,-0.6787,276.74,0.17388,1.30749,-99.86,0.296638,-99.86,-32.3512
ILC1-1/7,-0.6825,278.01,0.17468,1.31331,-99.91,0.297958,-99.91,-32.6399
ILC1-1/7,-0.6863,279.29,0.17548,1.31918,-99.95,0.299290,-99.95,-32.9324
ILC1-1/7,-0.6900,280.58,0.17630,1.32510,-100.00,0.300634,-100.00,-33.2288
ILC1-1/7,-0.6937,281.89,0.17712,1.33108,-100.04,0.301990,-100.04,-33.5292
ILC1-1/7,-0.6975,283.21,0.17794,1.33711,-100.09,0.303358,-100.09,-33.8336
ILC1-1/7,-0.7013,284.54,0.17878,1.34319,-100.14,0.304738,-100.14,-34.1422
ILC1-1/7,-0.7050,285.88,0.17962,1.34933,-100.18,0.306131,-100.18,-34.4550
ILC1-1/7,-0.7087,287.23,0.18047,1.35552,-100.23,0.307536,-100.23,-34.7720
ILC1-1/7,-0.7125,288.60,0.18133,1.36177,-100.28,0.308954,-100.28,-35.0934
ILC1-1/7,-0.7163,289.98,0.18220,1.36808,-100.33,0.310385,-100.33,-35.4192
ILC1-1/7,-0.7200,291.38,0.18308,1.37444,-100.37,0.311829,-100.37,-35.7495
ILC1-1/7,-0.7238,292.78,0.18396,1.38087,-100.42,0.313286,-100.42,-36.0844
ILC1-1/7,-0.7275,294.20,0.18485,1.38735,-100.47,0.314757,-100.47,-36.4240
ILC1-1/7,-0.7312,295.64,0.18576,1.39389,-100.52,0.316241,-100.52,-36.7683
ILC1-1/7,-0.7350,297.09,0.18667,1.40049,-100.57,0.317739,-100.57,-37.1175
ILC1-1/7,-0.7388,298.55,0.18759,1.40716,-100.62,0.319251,-100.62,-37.4717
ILC1-1/7,-0.7425,300.03,0.18851,1.41389,-100.68,0.320778,-100.68,-37.8308
ILC1-1/7,-0.7462,301.52,0.18945,1.42068,-100.73,0.322318,-100.73,-38.1951
ILC1-1/7,-0.7500,303.03,0.19040,1.42753,-100.78,0.323874,-100.78,-38.5646
ILC1-1/7,-0.7538,304.55,0.19136,1.43445,-100.83,0.325444,-100.83,-38.9395
ILC1-1/7,-0.7575,306.09,0.19232,1.44144,-100.89,0.327029,-100.89,-39.3197
ILC1-1/7,-0.7612,307.64,0.19330,1.44850,-100.94,0.328630,-100.94,-39.7055
ILC1-1/7,-0.7650,309.21,0.19429,1.45562,-100.99,0.330245,-100.99,-40.0969
ILC1-1/7,-0.7688,310.80,0.19528,1.46281,-101.05,0.331877,-101.05,-40.4941
ILC1-1/7,-0.7725,312.40,0.19629,1.47007,-101.11,0.333524,-101.11,-40.8971
ILC1-1/7,-0.7762,314.02,0.19731,1.47740,-101.16,0.335188,-101.16,-41.3061
ILC1-1/7,-0.7800,315.66,0.19833,1.48481,-101.22,0.336868,-101.22,-41.7211
ILC1-1/7,-0.7837,317.31,0.19937,1.49228,-101.28,0.338564,-101.28,-42.1424
ILC1-1/7,-0.7875,318.98,0.20042,1.49984,-101.33,0.340277,-101.33,-42.5700
ILC1-1/7,-0.7913,320.67,0.20148,1.50746,-101.39,0.342008,-101.39,-43.0040
ILC1-1/7,-0.7950,322.37,0.20255,1.51517,-101.45,0.343755,-101.45,-43.4447
ILC1-1/7,-0.7987,324.10,0.20364,1.52295,-101.51,0.345521,-101.51,-43.8920
ILC1-1/7,-0.8025,325.84,0.20473,1.53081,-101.57,0.347304,-101.57,-44.3462
ILC1-1/7,-0.8063,327.60,0.20584,1.53874,-101.63,0.349105,-101.63,-44.8074
ILC1-1/7,-0.8100,329.38,0.20696,1.54676,-101.69,0.350925,-101.69,-45.2757
ILC1-1/7,-0.8137,331.18,0.20809,1.55487,-101.75,0.352763,-101.75,-45.7513
ILC1-1/7,-0.8175,333.00,0.20923,1.56305,-101.82,0.354620,-101.82,-46.2343
ILC1-1/7,-0.8213,334.84,0.21039,1.57132,-101.88,0.356496,-101.88,-46.7248
ILC1-1/7,-0.8250,336.70,0.21156,1.57968,-101.95,0.358392,-101.95,-47.2231
ILC1-1/7,-0.8287,338.58,0.21274,1.58812,-102.01,0.360308,-102.01,-47.7293
ILC1-1/7,-0.8325,340.48,0.21393,1.59666,-102.08,0.362244,-102.08,-48.2436
ILC1-1/7,-0.8363,342.41,0.21514,1.60528,-102.14,0.364200,-102.14,-48.7661
ILC1-1/7,-0.8400,344.35,0.21636,1.61399,-102.21,0.366177,-102.21,-49.2970
ILC1-1/7,-0.8438,346.32,0.21760,1.62280,-102.28,0.368175,-102.28,-49.8364
ILC1-1/7,-0.8475,348.31,0.21885,1.63170,-102.34,0.370195,-102.34,-50.3846
ILC1-1/7,-0.8512,350.32,0.22012,1.64070,-102.41,0.372236,-102.41,-50.9418
ILC1-1/7,-0.8550,352.36,0.22139,1.64979,-102.48,0.374299,-102.48,-51.5081
ILC1-1/7,-0.8588,354.42,0.22269,1.65899,-102.55,0.376385,-102.55,-52.0838
ILC1-1/7,-0.8625,356.51,0.22400,1.66828,-102.63,0.378494,-102.63,-52.6690
ILC1-1/7,-0.8662,358.62,0.22532,1.67768,-102.70,0.380625,-102.70,-53.2639
ILC1-1/7,-0.8700,360.75,0.22667,1.68718,-102.77,0.382781,-102.77,-53.8688
ILC1-1/7,-0.8738,362.91,0.22802,1.69678,-102.85,0.384960,-102.85,-54.4839
ILC1-1/7,-0.8775,365.10,0.22940,1.70649,-102.92,0.387163,-102.92,-55.1094
ILC1-1/7,-0.8812,367.31,0.23079,1.71631,-103.00,0.389391,-103.00,-55.7455
ILC1-1/7,-0.8850,369.55,0.23219,1.72625,-103.07,0.391644,-103.07,-56.3925
ILC1-1/7,-0.8888,371.82,0.23362,1.73629,-103.15,0.393923,-103.15,-57.0507
ILC1-1/7,-0.8925,374.11,0.23506,1.74645,-103.23,0.396228,-103.23,-57.7202
ILC1-1/7,-0.8962,376.44,0.23652,1.75672,-103.31,0.398559,-103.31,-58.4013
ILC1-1/7,-0.9000,378.79,0.23800,1.76711,-103.39,0.400917,-103.39,-59.0944
ILC1-1/7,-0.9038,381.17,0.23950,1.77763,-103.47,0.403302,-103.47,-59.7996
ILC1-1/7,-0.9075,383.58,0.24101,1.78826,-103.55,0.405715,-103.55,-60.5172
ILC1-1/7,-0.9113,386.03,0.24255,1.79902,-103.63,0.408156,-103.63,-61.2476
ILC1-1/7,-0.9150,388.50,0.24410,1.80991,-103.72,0.410625,-103.72,-61.9911
ILC1-1/7,-0.9187,391.01,0.24568,1.82092,-103.80,0.413124,-103.80,-62.7479
ILC1-1/7,-0.9225,393.55,0.24727,1.83207,-103.89,0.415653,-103.89,-63.5183
ILC1-1/7,-0.9263,396.12,0.24889,1.84334,-103.98,0.418211,-103.98,-64.3027
ILC1-1/7,-0.9300,398.72,0.25053,1.85476,-104.06,0.420801,-104.06,-65.1015
ILC1-1/7,-0.9337,401.36,0.25218,1.86631,-104.15,0.423422,-104.15,-65.9149
ILC1-1/7,-0.9375,404.04,0.25387,1.87800,-104.24,0.426074,-104.24,-66.7433
ILC1-1/7,-0.9413,406.75,0.25557,1.88983,-104.34,0.428759,-104.34,-67.5871
ILC1-1/7,-0.9450,409.50,0.25730,1.90181,-104.43,0.431476,-104.43,-68.4466
ILC1-1/7,-0.9487,412.29,0.25905,1.91394,-104.52,0.434228,-104.52,-69.3222
ILC1-1/7,-0.9525,415.11,0.26082,1.92622,-104.62,0.437013,-104.62,-70.2144
ILC1-1/7,-0.9563,417.97,0.26262,1.93865,-104.71,0.439833,-104.71,-71.1235
ILC1-1/7,-0.9600,420.88,0.26444,1.95123,-104.81,0.442688,-104.81,-72.0500
ILC1-1/7,-0.9637,423.82,0.26629,1.96398,-104.91,0.445580,-104.91,-72.9943
ILC1-1/7,-0.9675,426.80,0.26817,1.97688,-105.01,0.448508,-105.01,-73.9567
ILC1-1/7,-0.9712,429.83,0.27007,1.98995,-105.11,0.451473,-105.11,-74.9379
ILC1-1/7,-0.9750,432.90,0.27200,2.00319,-105.22,0.454477,-105.22,-75.9383
ILC1-1/7,-0.9788,436.01,0.27396,2.01660,-105.32,0.457519,-105.32,-76.9583
ILC1-1/7,-0.9825,439.17,0.27594,2.03018,-105.43,0.460600,-105.43,-77.9985
ILC1-1/7,-0.9862,442.38,0.27796,2.04394,-105.53,0.463722,-105.53,-79.0593
ILC1-1/7,-0.9900,445.63,0.28000,2.05788,-105.64,0.466885,-105.64,-80.1414
ILC1-1/7,-0.9938,448.93,0.28207,2.07200,-105.75,0.470089,-105.75,-81.2453
ILC1-1/7,-0.9975,452.28,0.28418,2.08632,-105.86,0.473336,-105.86,-82.3715
ILC1-1/7,-1.0012,455.68,0.28632,2.10082,-105.98,0.476626,-105.98,-83.5206
ILC1-1/7,-1.0050,459.14,0.28848,2.11551,-106.09,0.479961,-106.09,-84.6932
ILC1-1/7,-1.0088,462.64,0.29069,2.13041,-106.21,0.483340,-106.21,-85.8901
ILC1-1/7,-1.0125,466.20,0.29292,2.14551,-106.33,0.486765,-106.33,-87.1117
ILC1-1/7,-1.0163,469.81,0.29519,2.16081,-106.45,0.490237,-106.45,-88.3588
ILC1-1/7,-1.0200,473.48,0.29750,2.17632,-106.57,0.493757,-106.57,-89.6322
ILC1-1/7,-1.0237,477.21,0.29984,2.19205,-106.69,0.497325,-106.69,-90.9323
ILC1-1/7,-1.0275,481.00,0.30222,2.20800,-106.82,0.500943,-106.82,-92.2602
ILC1-1/7,-1.0312,484.85,0.30464,2.22417,-106.94,0.504611,-106.94,-93.6164
ILC1-1/7,-1.0350,488.76,0.30710,2.24056,-107.07,0.508331,-107.07,-95.0017
ILC1-1/7,-1.0388,492.73,0.30959,2.25719,-107.20,0.512104,-107.20,-96.4171
ILC1-1/7,-1.0425,496.77,0.31213,2.27406,-107.33,0.515930,-107.33,-97.8633
ILC1-1/7,-1.0462,500.88,0.31471,2.29117,-107.47,0.519812,-107.47,-99.3412
ILC1-1/7,-1.0500,505.05,0.31733,2.30852,-107.61,0.523748,-107.61,-100.8517
ILC1-1/7,-1.0537,509.29,0.32000,2.32612,-107.74,0.527742,-107.74,-102.3957
ILC1-1/7,-1.0575,513.61,0.32271,2.34398,-107.89,0.531795,-107.89,-103.9742
ILC1-1/7,-1.0613,518.00,0.32547,2.36211,-108.03,0.535906,-108.03,-105.5881
ILC1-1/7,-1.0650,522.47,0.32828,2.38049,-108.17,0.540078,-108.17,-107.2386
ILC1-1/7,-1.0688,527.01,0.33113,2.39916,-108.32,0.544312,-108.32,-108.9266
ILC1-1/7,-1.0725,531.63,0.33403,2.41810,-108.47,0.548610,-108.47,-110.6533
ILC1-1/7,-1.0762,536.34,0.33699,2.43732,-108.62,0.552971,-108.62,-112.4199
ILC1-1/7,-1.0800,541.13,0.34000,2.45684,-108.78,0.557399,-108.78,-114.2274
ILC1-1/7,-1.0837,546.00,0.34306,2.47665,-108.94,0.561894,-108.94,-116.0771
ILC1-1/7,-1.0875,550.96,0.34618,2.49677,-109.09,0.566458,-109.09,-117.9703
ILC1-1/7,-1.0913,556.02,0.34936,2.51719,-109.26,0.571092,-109.26,-119.9083
ILC1-1/7,-1.0950,561.17,0.35259,2.53793,-109.42,0.575797,-109.42,-121.8924
ILC1-1/7,-1.0987,566.41,0.35589,2.55900,-109.59,0.580576,-109.59,-123.9241
ILC1-1/7,-1.1025,571.76,0.35924,2.58039,-109.76,0.585430,-109.76,-126.0048
ILC1-1/7,-1.1062,577.20,0.36267,2.60212,-109.93,0.590360,-109.93,-128.1360
ILC1-1/7,-1.1100,582.75,0.36615,2.62419,-110.11,0.595368,-110.11,-130.3193
ILC1-1/7,-1.1138,588.41,0.36971,2.64662,-110.29,0.600456,-110.29,-132.5563
ILC1-1/7,-1.1175,594.18,0.37333,2.66941,-110.47,0.605626,-110.47,-134.8487
ILC1-1/7,-1.1213,600.06,0.37703,2.69256,-110.66,0.610879,-110.66,-137.1982
ILC1-1/7,-1.1250,606.06,0.38080,2.71609,-110.85,0.616218,-110.85,-139.6066
ILC1-1/7,-1.1287,612.18,0.38465,2.74001,-111.04,0.621643,-111.04,-142.0759
ILC1-1/7,-1.1325,618.43,0.38857,2.76432,-111.23,0.627158,-111.23,-144.6079
ILC1-1/7,-1.1362,624.80,0.39258,2.78903,-111.43,0.632764,-111.43,-147.2046
ILC1-1/7,-1.1400,631.31,0.39667,2.81415,-111.64,0.638463,-111.64,-149.8683
ILC1-1/7,-1.1438,637.96,0.40084,2.83969,-111.84,0.644258,-111.84,-152.6009
ILC1-1/7,-1.1475,644.75,0.40511,2.86566,-112.05,0.650150,-112.05,-155.4049
ILC1-1/7,-1.1513,651.68,0.40946,2.89207,-112.27,0.656142,-112.27,-158.2824
ILC1-1/7,-1.1550,658.76,0.41391,2.91892,-112.49,0.662235,-112.49,-161.2360
ILC1-1/7,-1.1587,666.00,0.41846,2.94624,-112.71,0.668433,-112.71,-164.2682
ILC1-1/7,-1.1625,673.40,0.42311,2.97403,-112.93,0.674738,-112.93,-167.3815
ILC1-1/7,-1.1663,680.97,0.42786,3.00230,-113.16,0.681151,-113.16,-170.5787
ILC1-1/7,-1.1700,688.71,0.43273,3.03106,-113.40,0.687677,-113.40,-173.8626
ILC1-1/7,-1.1738,696.62,0.43770,3.06033,-113.64,0.694316,-113.64,-177.2361
ILC1-1/7,-1.1775,704.72,0.44279,3.09011,-113.88,0.701073,-113.88,-180.7023
ILC1-1/7,-1.1812,713.01,0.44800,3.12041,-114.13,0.707949,-114.13,-184.2642
ILC1-1/7,-1.1850,721.50,0.45333,3.15126,-114.39,0.714947,-114.39,-187.9252
ILC1-1/7,-1.1887,730.19,0.45879,3.18266,-114.65,0.722070,-114.65,-191.6887
ILC1-1/7,-1.1925,739.10,0.46439,3.21462,-114.91,0.729322,-114.91,-195.5580
ILC1-1/7,-1.1963,748.22,0.47012,3.24716,-115.18,0.736704,-115.18,-199.5370
ILC1-1/7,-1.2000,757.58,0.47600,3.28029,-115.45,0.744220,-115.45,-203.6294
ILC1-1/7,-1.2038,767.17,0.48202,3.31402,-115.74,0.751874,-115.74,-207.8391
ILC1-1/7,-1.2075,777.00,0.48820,3.34837,-116.02,0.759667,-116.02,-212.1702
ILC1-1/7,-1.2112,787.09,0.49454,3.38336,-116.31,0.767604,-116.31,-216.6269
ILC1-1/7,-1.2150,797.45,0.50105,3.41899,-116.61,0.775688,-116.61,-221.2136
ILC1-1/7,-1.2188,808.08,0.50773,3.45528,-116.92,0.783922,-116.92,-225.9348
ILC1-1/7,-1.2225,819.00,0.51459,3.49225,-117.23,0.792309,-117.23,-230.7953
ILC1-1/7,-1.2263,830.22,0.52164,3.52991,-117.55,0.800854,-117.55,-235.8000
ILC1-1/7,-1.2300,841.75,0.52889,3.56828,-117.87,0.809558,-117.87,-240.9538
ILC1-1/7,-1.2337,853.61,0.53634,3.60737,-118.21,0.818427,-118.21,-246.2621
ILC1-1/7,-1.2375,865.80,0.54400,3.64720,-118.55,0.827464,-118.55,-251.7302
ILC1-1/7,-1.2412,878.35,0.55188,3.68778,-118.89,0.836671,-118.89,-257.3638
ILC1-1/7,-1.2450,891.27,0.56000,3.72914,-119.25,0.846054,-119.25,-263.1686
ILC1-1/7,-1.2488,904.57,0.56836,3.77129,-119.61,0.855616,-119.61,-269.1506
ILC1-1/7,-1.2525,918.27,0.57697,3.81424,-119.98,0.865360,-119.98,-275.3161
ILC1-1/7,-1.2563,932.40,0.58584,3.85801,-120.36,0.875291,-120.36,-281.6713
ILC1-1/7,-1.2600,946.97,0.59500,3.90262,-120.75,0.885412,-120.75,-288.2229
ILC1-1/7,-1.2637,962.00,0.60444,3.94808,-121.15,0.895727,-121.15,-294.9776
ILC1-1/7,-1.2675,977.52,0.61419,3.99442,-121.56,0.906240,-121.56,-301.9424
ILC1-1/7,-1.2712,993.54,0.62426,4.04165,-121.97,0.916955,-121.97,-309.1244
ILC1-1/7,-1.2750,1010.10,0.63467,4.08978,-122.40,0.927875,-122.40,-316.5310
ILC1-1/7,-1.2788,1027.22,0.64542,4.13883,-122.84,0.939004,-122.84,-324.1698
ILC1-1/7,-1.2825,1044.93,0.65655,4.18883,-123.29,0.950346,-123.29,-332.0483
ILC1-1/7,-1.2862,1063.26,0.66807,4.23977,-123.75,0.961905,-123.75,-340.1745
ILC1-1/7,-1.2900,1082.25,0.68000,4.29169,-124.22,0.973683,-124.22,-348.5563
ILC1-1/7,-1.2937,1101.93,0.69236,4.34459,-124.70,0.985685,-124.70,-357.2019
ILC1-1/7,-1.2975,1122.33,0.70518,4.39849,-125.19,0.997913,-125.19,-366.1195
ILC1-1/7,-1.3013,1143.51,0.71849,4.45339,-125.70,1.010370,-125.70,-375.3175
ILC1-1/7,-1.3050,1165.50,0.73231,4.50933,-126.22,1.023060,-126.22,-384.8041
ILC1-1/7,-1.3088,1188.35,0.74666,4.56629,-126.75,1.035984,-126.75,-394.5879
ILC1-1/7,-1.3125,1212.12,0.76160,4.62430,-127.29,1.049145,-127.29,-404.6771
ILC1-1/7,-1.3162,1236.86,0.77714,4.68336,-127.85,1.062545,-127.85,-415.0802
ILC1-1/7,-1.3200,1262.63,0.79333,4.74348,-128.43,1.076185,-128.43,-425.8053
ILC1-1/7,-1.3237,1289.49,0.81021,4.80466,-129.01,1.090065,-129.01,-436.8604
ILC1-1/7,-1.3275,1317.52,0.82782,4.86691,-129.62,1.104188,-129.62,-448.2533
ILC1-1/7,-1.3313,1346.80,0.84622,4.93022,-130.24,1.118552,-130.24,-459.9915
ILC1-1/7,-1.3350,1377.41,0.86545,4.99460,-130.87,1.133156,-130.87,-472.0819
ILC1-1/7,-1.3388,1409.44,0.88558,5.06002,-131.53,1.148001,-131.53,-484.5312
ILC1-1/7,-1.3425,1443.00,0.90666,5.12650,-132.20,1.163082,-132.20,-497.3452
ILC1-1/7,-1.3462,1478.20,0.92878,5.19400,-132.89,1.178396,-132.89,-510.5290
ILC1-1/7,-1.3500,1515.15,0.95200,5.26252,-133.59,1.193941,-133.59,-524.0870
ILC1-1/7,-1.3538,1554.00,0.97641,5.33202,-134.32,1.209710,-134.32,-538.0222
ILC1-1/7,-1.3575,1594.90,1.00210,5.40249,-135.06,1.225697,-135.06,-552.3369
ILC1-1/7,-1.3613,1638.00,1.02919,5.47388,-135.82,1.241895,-135.82,-567.0315
ILC1-1/7,-1.3650,1683.50,1.05778,5.54616,-136.61,1.258293,-136.61,-582.1051
ILC1-1/7,-1.3687,1731.60,1.08800,5.61928,-137.41,1.274882,-137.41,-597.5549
ILC1-1/7,-1.3725,1782.53,1.12000,5.69318,-138.24,1.291649,-138.24,-613.3761
ILC1-1/7,-1.3762,1836.55,1.15394,5.76781,-139.09,1.308580,-139.09,-629.5616
ILC1-1/7,-1.3800,1893.94,1.19000,5.84308,-139.96,1.325658,-139.96,-646.1017
ILC1-1/7,-1.3838,1955.03,1.22838,5.91893,-140.85,1.342866,-140.85,-662.9839
ILC1-1/7,-1.3875,2020.20,1.26933,5.99526,-141.77,1.360183,-141.77,-680.1927
ILC1-1/7,-1.3913,2089.86,1.31310,6.07196,-142.71,1.377585,-142.71,-697.7090
ILC1-1/7,-1.3950,2164.50,1.36000,6.14893,-143.67,1.395048,-143.67,-715.5103
ILC1-1/7,-1.3987,2244.67,1.41037,6.22605,-144.66,1.412544,-144.66,-733.5698
ILC1-1/7,-1.4025,2331.00,1.46461,6.30317,-145.68,1.430042,-145.68,-751.8566
ILC1-1/7,-1.4062,2424.24,1.52320,6.38016,-146.71,1.447508,-146.71,-770.3352
ILC1-1/7,-1.4100,2525.25,1.58666,6.45685,-147.78,1.464908,-147.78,-788.9655
ILC1-1/7,-1.4138,2635.05,1.65565,6.53307,-148.87,1.482200,-148.87,-807.7022
ILC1-1/7,-1.4175,2754.82,1.73091,6.60864,-149.98,1.499344,-149.98,-826.4949
ILC1-1/7,-1.4212,2886.00,1.81333,6.68335,-151.12,1.516295,-151.12,-845.2880
ILC1-1/7,-1.4250,3030.30,1.90400,6.75700,-152.29,1.533004,-152.29,-864.0206
ILC1-1/7,-1.4287,3189.79,2.00421,6.82936,-153.48,1.549422,-153.48,-882.6265
ILC1-1/7,-1.4325,3367.00,2.11555,6.90021,-154.70,1.565496,-154.70,-901.0345
ILC1-1/7,-1.4363,3565.06,2.23999,6.96930,-155.94,1.581171,-155.94,-919.1683
ILC1-1/7,-1.4400,3787.88,2.37999,7.03638,-157.21,1.596389,-157.21,-936.9474
ILC1-1/7,-1.4438,4040.40,2.53866,7.10119,-158.50,1.611094,-158.50,-954.2871
ILC1-1/7,-1.4475,4329.00,2.71999,7.16347,-159.81,1.625223,-159.81,-971.0994
ILC1-1/7,-1.4512,4662.00,2.92922,7.22295,-161.15,1.638719,-161.15,-987.2936
ILC1-1/7,-1.4550,5050.51,3.17333,7.27937,-162.51,1.651519,-162.51,-1002.7773
ILC1-1/7,-1.4587,5509.64,3.46181,7.33246,-163.89,1.663563,-163.89,-1017.4576
ILC1-1/7,-1.4625,6060.61,3.80799,7.38196,-165.29,1.674794,-165.29,-1031.2418
ILC1-1/7,-1.4663,6734.01,4.23110,7.42763,-166.70,1.685154,-166.70,-1044.0391
ILC1-1/7,-1.4700,7575.76,4.75999,7.46921,-168.14,1.694588,-168.14,-1055.7615
ILC1-1/7,-1.4737,8658.01,5.43999,7.50648,-169.58,1.703045,-169.58,-1066.3256
ILC1-1/7,-1.4775,10101.01,6.34665,7.53925,-171.05,1.710478,-171.05,-1075.6536
ILC1-1/7,-1.4812,12121.21,7.61598,7.56731,-172.52,1.716844,-172.52,-1083.6750
ILC1-1/7,-1.4850,15151.52,9.51998,7.59050,-174.00,1.722105,-174.00,-1090.3275
ILC1-1/7,-1.4888,20202.02,12.69330,7.60868,-175.50,1.726231,-175.50,-1095.5584
ILC1-1/7,-1.4925,30303.03,19.03996,7.62175,-176.99,1.729197,-176.99,-1099.3256
ILC1-1/7,-1.4963,60606.06,38.07991,7.62963,-178.50,1.730983,-178.50,-1101.5984
ILC1-1/7,-1.5000,1000000000.00,628318.53072,7.63226,-180.00,1.731580,-180.00,-1102.3580
ILC1-1/8,-0.0000,151.52,0.09520,0.19871,-95.44,0.049254,-95.44,-2.9717
ILC1-1/8,-0.0037,151.89,0.09544,0.19921,-95.45,0.049377,-95.45,-2.9865
ILC1-1/8,-0.0075,152.28,0.09568,0.19970,-95.47,0.049500,-95.47,-3.0013
ILC1-1/8,-0.0112,152.66,0.09592,0.20020,-95.48,0.049623,-95.48,-3.0163
ILC1-1/8,-0.0150,153.05,0.09616,0.20070,-95.49,0.049747,-95.49,-3.0315
ILC1-1/8,-0.0187,153.43,0.09640,0.20121,-95.51,0.049872,-95.51,-3.0467
ILC1-1/8,-0.0225,153.82,0.09665,0.20171,-95.52,0.049997,-95.52,-3.0620
ILC1-1/8,-0.0262,154.21,0.09690,0.20222,-95.53,0.050124,-95.53,-3.0775
ILC1-1/8,-0.0300,154.61,0.09714,0.20273,-95.55,0.050250,-95.55,-3.0931
ILC1-1/8,-0.0338,155.00,0.09739,0.20325,-95.56,0.050378,-95.56,-3.1088
