 1.00000000e-07  2.57733351e-02  1.00000000e-07  1.00036168e-02  1.00000000e-07  1.99985223e-02 
 1.03542616e-07  2.59779863e-02  1.03542616e-07  1.00037495e-02  1.03542616e-07  2.00051424e-02 
 1.10627848e-07  2.63622285e-02  1.10627848e-07  1.00040234e-02  1.10627848e-07  2.00059074e-02 
 1.24798312e-07  2.70596267e-02  1.24798312e-07  1.00046191e-02  1.24798312e-07  2.00071790e-02 
 1.53139240e-07  2.82128482e-02  1.53139240e-07  1.00059745e-02  1.53139240e-07  2.00103149e-02 
 2.09821095e-07  2.98031214e-02  2.09821095e-07  1.00091706e-02  2.09821095e-07  2.00170308e-02 
 3.23184806e-07  3.13540161e-02  3.23184806e-07  1.00166663e-02  3.23184806e-07  2.00325498e-02 
 4.84206739e-07  3.19801698e-02  4.84206739e-07  1.00283765e-02  4.84206739e-07  2.00560219e-02 
 6.89312452e-07  3.21267172e-02  6.89312452e-07  1.00437235e-02  6.89312452e-07  2.00868507e-02 
 9.84772220e-07  3.22004658e-02  9.84772220e-07  1.00659019e-02  9.84772220e-07  2.01310977e-02 
 1.52521595e-06  3.23296454e-02  1.52521595e-06  1.01064051e-02  1.52521595e-06  2.02122106e-02 
 2.60610341e-06  3.25882107e-02  2.60610341e-06  1.01871429e-02  2.60610341e-06  2.03735719e-02 
 4.76787834e-06  3.31014324e-02  4.76787834e-06  1.03475319e-02  4.76787834e-06  2.06944488e-02 
 9.09142819e-06  3.41138202e-02  9.09142819e-06  1.06638365e-02  9.09142819e-06  2.13269288e-02 
 1.00000000e-05  3.43240663e-02  1.00000000e-05  1.07295360e-02  1.00000000e-05  2.14584327e-02 
 1.08647100e-05  3.45229578e-02  1.08647100e-05  1.07916827e-02  1.08647100e-05  2.15826677e-02 
 1.25941299e-05  3.49191510e-02  1.25941299e-05  1.09154703e-02  1.25941299e-05  2.18302350e-02 
 1.60529698e-05  3.57016385e-02  1.60529698e-05  1.11599596e-02  1.60529698e-05  2.23191979e-02 
 2.29706495e-05  3.72255669e-02  2.29706495e-05  1.16360984e-02  2.29706495e-05  2.32714454e-02 
 3.29706495e-05  3.93259890e-02  3.29706495e-05  1.22923460e-02  3.29706495e-05  2.45838989e-02 
 4.29706495e-05  4.12969647e-02  4.29706495e-05  1.29081236e-02  4.29706495e-05  2.58154153e-02 
 5.29706495e-05  4.31290168e-02  5.29706495e-05  1.34804788e-02  5.29706495e-05  2.69600893e-02 
 6.29706495e-05  4.48131532e-02  6.29706495e-05  1.40065936e-02  6.29706495e-05  2.80122858e-02 
 7.29706495e-05  4.63408034e-02  7.29706495e-05  1.44837983e-02  7.29706495e-05  2.89666652e-02 
 8.29706495e-05  4.77039588e-02  8.29706495e-05  1.49095832e-02  8.29706495e-05  2.98182082e-02 
 9.29706495e-05  4.88951148e-02  9.29706495e-05  1.52816110e-02  9.29706495e-05  3.05622405e-02 
 1.02970650e-04  4.99073995e-02  1.02970650e-04  1.55977279e-02  1.02970650e-04  3.11944548e-02 
 1.12970650e-04  5.07345203e-02  1.12970650e-04  1.58559750e-02  1.12970650e-04  3.17109330e-02 
 1.22970650e-04  5.13708811e-02  1.22970650e-04  1.60545980e-02  1.22970650e-04  3.21081668e-02 
 1.32970650e-04  5.18115321e-02  1.32970650e-04  1.61920567e-02  1.32970650e-04  3.23830762e-02 
 1.42970650e-04  5.20522750e-02  1.42970650e-04  1.62670345e-02  1.42970650e-04  3.25330276e-02 
 1.52970650e-04  5.20896150e-02  1.52970650e-04  1.62784457e-02  1.52970650e-04  3.25558498e-02 
 1.62970650e-04  5.19208549e-02  1.62970650e-04  1.62254429e-02  1.62970650e-04  3.24498483e-02 
 1.72970650e-04  5.15440472e-02  1.72970650e-04  1.61074237e-02  1.72970650e-04  3.22138181e-02 
 1.82970650e-04  5.09580770e-02  1.82970650e-04  1.59240359e-02  1.82970650e-04  3.18470549e-02 
 1.92970650e-04  5.01626143e-02  1.92970650e-04  1.56751820e-02  1.92970650e-04  3.13493636e-02 
 2.02970650e-04  4.91581851e-02  2.02970650e-04  1.53610229e-02  2.02970650e-04  3.07210661e-02 
 2.12970650e-04  4.79461223e-02  2.12970650e-04  1.49819805e-02  2.12970650e-04  2.99630063e-02 
 2.22970650e-04  4.65286265e-02  2.22970650e-04  1.45387396e-02  2.22970650e-04  2.90765535e-02 
 2.32970650e-04  4.49087147e-02  2.32970650e-04  1.40322479e-02  2.32970650e-04  2.80636032e-02 
 2.42970650e-04  4.30902694e-02  2.42970650e-04  1.34637162e-02  2.42970650e-04  2.69265766e-02 
 2.52970650e-04  4.10779858e-02  2.52970650e-04  1.28346162e-02  2.52970650e-04  2.56684176e-02 
 2.62970650e-04  3.88774099e-02  2.62970650e-04  1.21466789e-02  2.62970650e-04  2.42925875e-02 
 2.72970650e-04  3.64948826e-02  2.72970650e-04  1.14018901e-02  2.72970650e-04  2.28030581e-02 
 2.82970650e-04  3.39375670e-02  2.82970650e-04  1.06024862e-02  2.82970650e-04  2.12043021e-02 
 2.92970650e-04  3.12133903e-02  2.92970650e-04  9.75094853e-03  2.92970650e-04  1.95012817e-02 
 3.02970650e-04  2.83310600e-02  3.02970650e-04  8.84999636e-03  3.02970650e-04  1.76994355e-02 
 3.12970650e-04  2.53000027e-02  3.12970650e-04  7.90257928e-03  3.12970650e-04  1.58046624e-02 
 3.22970650e-04  2.21303713e-02  3.22970650e-04  6.91186837e-03  3.22970650e-04  1.38233044e-02 
 3.32970650e-04  1.88329796e-02  3.32970650e-04  5.88124641e-03  3.32970650e-04  1.17621268e-02 
 3.42970650e-04  1.54193003e-02  3.42970650e-04  4.81429715e-03  3.42970650e-04  9.62829694e-03 
 3.52970650e-04  1.19013970e-02  3.52970650e-04  3.71479361e-03  3.52970650e-04  7.42936053e-03 
 3.62970650e-04  8.29191339e-03  3.62970650e-04  2.58668552e-03  3.62970650e-04  5.17321682e-03 
 3.72970650e-04  4.60400174e-03  3.72970650e-04  1.43408591e-03  3.72970650e-04  2.86809158e-03 
 3.82970650e-04  8.51304890e-04  3.82970650e-04  2.61256797e-04  3.82970650e-04  5.22508592e-04 
 3.92970650e-04 -2.95211823e-03  3.92970650e-04 -9.27405773e-04  3.92970650e-04 -1.85474034e-03 
 4.02970650e-04 -6.79181775e-03  4.02970650e-04 -2.12738752e-03  4.02970650e-04 -4.25462694e-03 
 4.12970650e-04 -1.06530295e-02  4.12970650e-04 -3.33407229e-03  4.12970650e-04 -6.66791921e-03 
 4.22970650e-04 -1.45207063e-02  4.22970650e-04 -4.54275913e-03  4.22970650e-04 -9.08521555e-03 
 4.32970650e-04 -1.83795964e-02  4.32970650e-04 -5.74867982e-03  4.32970650e-04 -1.14969798e-02 
 4.42970650e-04 -2.22142802e-02  4.42970650e-04 -6.94701698e-03  4.42970650e-04 -1.38935775e-02 
 4.52970650e-04 -2.60092492e-02  4.52970650e-04 -8.13292247e-03  4.52970650e-04 -1.62653128e-02 
 4.62970650e-04 -2.97489475e-02  4.62970650e-04 -9.30153634e-03  4.62970650e-04 -1.86024659e-02 
 4.72970650e-04 -3.34178511e-02  4.72970650e-04 -1.04480059e-02  4.72970650e-04 -2.08953318e-02 
 4.82970650e-04 -3.70005122e-02  4.82970650e-04 -1.15675049e-02  4.82970650e-04 -2.31342586e-02 
 4.92970650e-04 -4.04816385e-02  4.92970650e-04 -1.26552535e-02  4.92970650e-04 -2.53096865e-02 
 5.02970650e-04 -4.38461394e-02  5.02970650e-04 -1.37065371e-02  5.02970650e-04 -2.74121868e-02 
 5.12970650e-04 -4.70792041e-02  5.12970650e-04 -1.47167265e-02  5.12970650e-04 -2.94325013e-02 
