 1.00000000e+00  9.99936884e-07  9.99967942e-04 
 1.05925373e+00  1.12194750e-06  1.05921964e-03 
 1.12201845e+00  1.25884563e-06  1.12198219e-03 
 1.18850223e+00  1.41244781e-06  1.18846364e-03 
 1.25892541e+00  1.58479223e-06  1.25888432e-03 
 1.33352143e+00  1.77816579e-06  1.33347764e-03 
 1.41253754e+00  1.99513440e-06  1.41249086e-03 
 1.49623566e+00  2.23857707e-06  1.49618584e-03 
 1.58489319e+00  2.51172410e-06  1.58483999e-03 
 1.67880402e+00  2.81819992e-06  1.67874715e-03 
 1.77827941e+00  3.16207123e-06  1.77821856e-03 
 1.88364909e+00  3.54790091e-06  1.88358390e-03 
 1.99526231e+00  3.98080857e-06  1.99519240e-03 
 2.11348904e+00  4.46653851e-06  2.11341396e-03 
 2.23872114e+00  5.01153590e-06  2.23864039e-03 
 2.37137371e+00  5.62303233e-06  2.37128672e-03 
 2.51188643e+00  6.30914172e-06  2.51179257e-03 
 2.66072506e+00  7.07896799e-06  2.66062359e-03 
 2.81838293e+00  7.94272586e-06  2.81827301e-03 
 2.98538262e+00  8.91187635e-06  2.98526329e-03 
 3.16227766e+00  9.99927886e-06  3.16214783e-03 
 3.34965439e+00  1.12193617e-05  3.34951278e-03 
 3.54813389e+00  1.25883137e-05  3.54797903e-03 
 3.75837404e+00  1.41242985e-05  3.75820423e-03 
 3.98107171e+00  1.58476963e-05  3.98088497e-03 
 4.21696503e+00  1.77813733e-05  4.21675908e-03 
 4.46683592e+00  1.99509857e-05  4.46660807e-03 
 4.73151259e+00  2.23853197e-05  4.73125972e-03 
 5.01187234e+00  2.51166732e-05  5.01159080e-03 
 5.30884444e+00  2.81812844e-05  5.30852995e-03 
 5.62341325e+00  3.16198125e-05  5.62306079e-03 
 5.95662144e+00  3.54778762e-05  5.95622511e-03 
 6.30957344e+00  3.98066595e-05  6.30912632e-03 
 6.68343918e+00  4.46635897e-05  6.68293310e-03 
 7.07945784e+00  5.01130988e-05  7.07888320e-03 
 7.49894209e+00  5.62274778e-05  7.49828755e-03 
 7.94328235e+00  6.30878349e-05  7.94253453e-03 
 8.41395142e+00  7.07851701e-05  8.41309453e-03 
 8.91250938e+00  7.94215812e-05  8.91152475e-03 
 9.44060876e+00  8.91116162e-05  9.43947431e-03 
 1.00000000e+01  9.99837907e-05  9.99868961e-03 
 1.05925373e+01  1.12182290e-04  1.05910200e-02 
 1.12201845e+01  1.25868876e-04  1.12184238e-02 
 1.18850223e+01  1.41225033e-04  1.18829747e-02 
 1.25892541e+01  1.58454363e-04  1.25868684e-02 
 1.33352143e+01  1.77785282e-04  1.33324294e-02 
 1.41253754e+01  1.99474040e-04  1.41221192e-02 
 1.49623566e+01  2.23808107e-04  1.49585433e-02 
 1.58489319e+01  2.51109968e-04  1.58444600e-02 
 1.67880402e+01  2.81741386e-04  1.67827890e-02 
 1.77827941e+01  3.16108167e-04  1.77766207e-02 
 1.88364909e+01  3.54665517e-04  1.88292254e-02 
 1.99526231e+01  3.97924035e-04  1.99440641e-02 
 2.11348904e+01  4.46456434e-04  2.11247985e-02 
 2.23872114e+01  5.00905070e-04  2.23753026e-02 
 2.37137371e+01  5.61990384e-04  2.36996741e-02 
 2.51188643e+01  6.30520345e-04  2.51022467e-02 
 2.66072506e+01  7.07401039e-04  2.65876028e-02 
 2.81838293e+01  7.93648516e-04  2.81605866e-02 
 2.98538262e+01  8.90402055e-04  2.98263179e-02 
 3.16227766e+01  9.98939007e-04  3.15902062e-02 
 3.34965439e+01  1.12069140e-03  3.34579654e-02 
 3.54813389e+01  1.25726451e-03  3.54356289e-02 
 3.75837404e+01  1.41045760e-03  3.75295645e-02 
 3.98107171e+01  1.58228715e-03  3.97464906e-02 
 4.21696503e+01  1.77501268e-03  4.20934913e-02 
 4.46683592e+01  1.99116573e-03  4.45780325e-02 
 4.73151259e+01  2.23358202e-03  4.72079774e-02 
 5.01187234e+01  2.50543742e-03  4.99916013e-02 
 5.30884444e+01  2.81028789e-03  5.29376064e-02 
