t_ms,T_K
-49.993 796.246
-46.593 796.321
-43.143 796.323
-39.743 796.250
-36.293 796.205
-32.893 796.177
-29.443 796.205
-26.043 796.298
-22.593 796.328
-19.193 796.302
-15.743 796.257
-12.343 796.183
-8.893 796.184
-5.493 796.258
-4.993 796.258
-4.843 796.185
-4.693 796.306
-4.543 796.304
-4.393 796.184
-4.243 796.260
-4.093 796.333
-3.943 796.213
-3.793 796.214
-3.643 796.334
-3.493 796.258
-3.343 796.185
-3.193 796.306
-3.043 796.305
-2.893 796.185
-2.743 796.261
-2.593 796.333
-2.443 796.213
-2.293 796.214
-2.143 796.334
-2.043 796.305
-1.993 796.259
-1.843 796.186
-1.693 796.306
-1.543 796.305
-1.393 796.185
-1.243 796.261
-1.093 796.334
-0.943 796.214
-0.793 796.215
-0.643 796.334
-0.493 796.259
-0.343 796.186
-0.193 796.307
-0.043 796.306
0.004 796.275
0.006 796.287
0.006 796.288
0.006 796.288
0.006 796.288
0.006 796.288
0.006 796.288
0.007 796.288
0.007 796.289
0.007 796.290
0.008 796.294
0.011 796.311
0.034 796.419
0.136 796.899
0.286 797.606
0.436 798.312
0.586 799.017
0.736 799.720
0.886 800.422
1.036 801.123
1.186 801.823
1.336 802.521
1.486 803.218
1.636 803.914
1.786 804.608
1.936 805.301
2.086 805.993
2.236 806.684
2.386 807.373
2.536 808.061
2.686 808.748
2.836 809.433
2.986 810.118
3.036 810.345
3.136 810.801
3.286 811.482
3.436 812.163
3.586 812.842
3.736 813.520
3.886 814.197
4.036 814.872
4.186 815.547
4.336 816.220
4.486 816.891
4.636 817.562
4.786 818.231
4.936 818.899
5.086 819.566
5.236 820.231
5.386 820.896
5.536 821.559
5.686 822.221
5.836 822.881
5.986 823.541
6.136 824.199
6.286 824.856
6.436 825.511
6.586 826.166
6.736 826.819
6.886 827.471
7.036 828.122
7.186 828.772
7.336 829.420
7.486 830.067
7.636 830.713
7.786 831.358
7.936 832.002
8.086 832.644
8.236 833.286
8.386 833.926
8.536 834.564
8.686 835.202
8.836 835.838
8.986 836.474
9.136 837.108
9.286 837.741
9.436 838.372
9.586 839.003
9.736 839.632
9.886 840.260
10.036 840.887
10.186 841.513
10.336 842.137
10.486 842.761
10.636 843.383
10.786 844.004
10.936 844.624
11.086 845.243
11.236 845.860
11.386 846.477
11.536 847.092
11.686 847.706
11.836 848.319
11.986 848.931
12.136 849.542
12.286 850.151
12.436 850.759
12.586 851.366
12.736 851.973
12.886 852.577
13.036 853.181
13.186 853.784
13.286 854.185
13.336 854.385
13.486 854.985
13.636 855.585
13.786 856.183
13.936 856.780
14.086 857.375
14.236 857.970
14.386 858.563
14.536 859.156
14.686 859.747
14.836 860.337
14.986 860.926
15.136 861.514
15.286 862.101
15.436 862.686
15.586 863.271
15.736 863.854
15.886 864.437
16.036 865.018
16.186 865.598
16.336 866.177
16.486 866.755
16.636 867.331
16.736 867.715
16.786 867.907
16.936 868.481
17.086 869.055
17.236 869.627
17.386 870.198
17.536 870.769
17.686 871.338
17.836 871.906
17.952 872.344
17.967 872.403
17.973 872.425
17.974 872.427
17.976 872.437
17.998 872.518
18.121 872.982
18.271 873.547
18.421 874.111
18.571 874.673
18.721 875.235
18.871 875.795
18.896 875.887
18.899 875.901
18.917 875.968
18.938 876.044
19.029 876.383
19.179 876.942
19.329 877.499
19.479 878.055
19.629 878.610
19.779 879.164
19.929 879.716
20.079 880.268
20.229 880.819
20.379 881.369
20.529 881.917
20.679 882.465
20.829 883.011
20.979 883.557
21.129 884.101
21.279 884.644
21.429 885.186
21.579 885.727
21.729 886.268
21.879 886.807
22.029 887.345
22.179 887.882
22.329 888.417
22.379 888.596
22.479 888.952
22.629 889.486
22.779 890.019
22.929 890.551
23.079 891.081
23.229 891.611
23.379 892.140
23.529 892.667
23.679 893.194
23.829 893.719
23.979 894.244
24.129 894.767
24.279 895.289
24.429 895.811
24.579 896.331
24.729 896.851
24.879 897.369
25.029 897.886
25.179 898.402
25.329 898.791
25.479 898.542
25.629 898.294
25.779 898.046
25.929 897.799
26.079 897.552
26.229 897.305
26.379 897.058
26.529 896.812
26.679 896.566
26.829 896.320
26.979 896.074
27.129 895.829
27.279 895.584
27.429 895.339
27.579 895.095
27.729 894.851
27.879 894.607
28.029 894.363
28.179 894.120
28.329 893.877
28.479 893.634
28.629 893.391
28.779 893.149
28.929 892.907
29.079 892.665
29.229 892.424
29.379 892.182
29.529 891.941
29.679 891.701
29.829 891.460
29.979 891.220
30.129 890.980
30.279 890.740
30.429 890.501
30.579 890.262
30.729 890.023
30.879 889.784
31.029 889.546
31.179 889.308
31.329 889.070
31.479 888.832
31.629 888.595
31.779 888.358
31.929 888.121
32.079 887.884
32.229 887.648
32.379 887.412
32.529 887.176
32.629 887.019
32.679 886.941
32.829 886.705
32.979 886.470
33.129 886.236
33.279 886.001
33.429 885.767
33.579 885.533
33.729 885.299
33.879 885.065
34.029 884.832
34.179 884.599
34.329 884.366
34.479 884.134
34.629 883.901
34.779 883.669
34.929 883.437
35.079 883.206
35.229 882.975
35.379 882.744
35.529 882.513
35.679 882.282
35.829 882.052
35.979 881.822
36.079 881.668
36.129 881.592
36.279 881.362
36.429 881.133
36.579 880.904
36.729 880.675
36.879 880.446
37.029 880.218
37.179 879.990
37.329 879.762
37.479 879.534
37.629 879.307
37.779 879.079
37.929 878.852
38.079 878.626
38.229 878.399
38.379 878.173
38.529 877.947
38.679 877.721
38.829 877.496
38.979 877.270
39.129 877.045
39.279 876.820
39.429 876.596
39.479 876.521
39.579 876.371
39.729 876.147
39.879 875.923
40.029 875.700
40.179 875.476
40.329 875.253
40.479 875.030
40.629 874.807
40.779 874.585
40.929 874.362
41.079 874.140
41.229 873.918
41.379 873.697
41.529 873.475
41.679 873.254
41.829 873.033
41.979 872.813
42.129 872.592
42.279 872.372
42.429 872.152
42.579 871.932
42.729 871.713
42.879 871.493
