tube,vp_label,vp_value,ok,clamp_ok,bridge_ok,v_ctl_OP,v_ctl_peak,t_settle_5K,t_settle_10K,t_target_95,T_peak,T_final,T_target,R_fil_peak,R_fil_final,R_fil_target,V_fil_rms,wall_s
ILC1-1/8,max,-3.0,False,False,True,-2.573989174554362,3.27925662,0.916873779,0.852672677,0.773084105,800.120353,799.767954,800,8.00145158,7.99722284,8,1.1981552771566626,11666.029505729675
ILC1-1/8,typ,-1.5,True,True,True,-1.0738404123963452,3.46390809,1.10412209,0.963690181,0.181171943,865.283343,799.82779,800,8.7896668,7.99794084,8,1.1979508303969129,13078.705856323242
